ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
94,ORG,SONSTIGES,digiS - Forschungs- und Kompetenzzentrum Digitalisierung / Zuse-Institut,Takustraße 7,14195,Berlin,52.45554,13.29774,https://www.digis-berlin.de/,,
95,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Directors Lounge,Petersburger Platz 2,10249,Berlin,52.5215718,13.4494716,directorslounge.net,,
96,ORG+VENUE,"BÜHNEN UND THEATER, DARSTELLENDE KUNST, TANZ / PERFORMANCE",DOCK 11 GmbH,Kastanienallee 79,10435,Berlin,52.5366389,13.408051,http://www.dock11-berlin.de/,,
97,ORG+VENUE,GEDENKSTÄTTE,Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,Britzer Str. 5,12439,Berlin,52.4531947,13.518086,http://www.dz-ns-zwangsarbeit.de/,,
98,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Donau-Ecke Ganghofer,Dieffenbachstr. 35,10967,Berlin,52.4917379,13.4191531,donaugang.wordpress.com/,,
100,ORG,BILDENDE KUNST,Eberhard Bosslet,Weidenweg 69,10247,Berlin,51.437326,6.7498675,http://www.bosslet.com,,
101,VENUE,BIBLIOTHEK,Eberhard-Alexander-Burgh-Bibliothek,Rüdesheimer Straße 14,14197,Berlin,50.0752824,8.2289158,https://www.wir-bieten-vielfalt-einen-ort.de/eberhard-alexander-burgh-bibliothek/,,
102,VENUE,BIBLIOTHEK,Edith-Stein-Bibliothek,Briesingstraße 6,12307,Berlin,52.38568,13.39874,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/stadtteilbibliothek-lichtenrade/,,
103,ORG,"MUSEUM, ARCHIVE UND BIBLIOTHEKEN","EFGAMP e.V. (European Federations of Game Archives, Museums and Preservation Projects)",Spittastr. 13,10317,Berlin,52.50505,13.47954,http://www.vigamus.com/efgamp/,,
104,VENUE,BIBLIOTHEK,Egon-Erwin-Kisch-Bibliothek,Frankfurter Allee 149,10365,Berlin,52.5133041,13.4813588,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298028.php,,
105,ORG+VENUE,"BÜHNEN, THEATER",Ehemaliges Stummfilmkino Delphi,Gustav-Adolf-Straße 2,13086,Berlin,52.5517802,13.4313946,http://ehemaliges-stummfilmkino-delphi.de/,,
106,VENUE,BIBLIOTHEK,Else-Ury-Bibliothek,Glogauer str. 13,10999,Berlin,52.4926268,13.4362823,https://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/familienbibliothek-glogauer-strasse/,,
107,ORG+VENUE,"BÜHNEN, THEATER",English Theatre Berlin,Fidicinstraße 40,10965,Berlin,52.4871936,13.3885053,https://www.etberlin.de/,,
108,ORG,MUSIK,Ensemble KNM Berlin,"Podewil, Klosterstr. 68",10179,Berlin,52.517716,13.4124572,https://www.kammerensemble.de/,,
109,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Errant Sound (Errant Bodies),Kollwitzstrasse 97,10435,Berlin,52.53918,13.4208,errantsound.net,,
110,ORG,PROJEKTRAUM/PROJEKTINITIATIVE,Experimentalsystem,,,Berlin,,,www.experimentalsystem.net,,
111,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",f3 – freiraum für fotografie,Waldemarstraße 17,10179,Berlin,52.4989716,13.4280437,http://fhochdrei.org/,,
112,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Farbvision,Schönhauser Allee 28,10435,Berlin,52.5365701,13.4128896,www.farbvision.net,,
113,ORG+VENUE,MUSEUM,FHXB Friedrichshain-Kreuzberg Museum,Adalbertstr. 95a,10999,Berlin,52.500643,13.418469,https://www.fhxb-museum.de/,,
114,ORG+VENUE,"BÜHNEN, THEATER",Figurentheater Grashüpfer,Puschkinallee 16 A,12435,Berlin,52.49164,13.46647,http://theater-treptower-park.de/,,
115,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,FIT – freie internationale Tankstelle,Schwedter Str.262,10119,Berlin,52.5333749,13.4100558,www.f-i-t.org,,
116,ORG+VENUE,"BÜHNEN, THEATER",Fliegendes Theater,Urbanstraße 100,10967,Berlin,52.48988,13.42205,http://www.fliegendes-theater.de/,,
117,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Flutgraben e.V.,Am Flutgraben 3,12435,Berlin,52.4970977,13.4516979,www.flutgraben.org,,
118,ORG+VENUE,MUSEUM,Frauenmuseum Berlin e.V.,Goethestraße 37,10625,Berlin,50.1145772,8.672854,www.frauenmuseumberlin.de,,
119,ORG+VENUE,MUSEUM,Freies Museum,Bülowstraße 90,10783,Berlin,52.4984823,13.360484,www.freies-museum.com/,,
120,VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Freilichtbühne Spandau,Am Juliusturm 62,13599,Berlin,52.5397012,13.2165944,http://kulturhaus-spandau.de/,,
121,ORG,"DARSTELLENDE KUNST, MUSIK, TANZ / PERFORMANCE",freutma e.V.,Krüllsstraße 2,12435,Berlin,52.4925578,13.4479077,https://freutma.de,,
122,ORG+VENUE,"BÜHNEN, THEATER",Friedrichstadt-Palast,Friedrichstraße 107,10117,Berlin,52.5240494,13.3887209,https://www.palast.berlin/,,
123,VENUE,BIBLIOTHEK,Friedrich-von-Raumer-Bibliothek,Dudenstr. 18 – 20,10965,Berlin,52.485185,13.3831476,https://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/stadtteilbibliothek-dudenstrasse/,,
124,ORG+VENUE,BILDENDE KUNST,frontviews e.V.,Alt Moabit 41,10555,Berlin,52.52462,13.33272,http://www.frontviews.de/,,
127,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,G.A.S–station,Tempelherrenstrasse 22,10961,Berlin,52.494637,13.400171,www.2gas-station.net,,
